,,,,Holder,Holder
,,,,Claim,Claim
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testingCentre,Test information|Testing centre or facility,,"Name/code of testing centre, facility or a health authority responsible for the testing event."
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,stateOfTest,Test information|State where the test was taken,Alabama|Alaska|American Samoa|Arizona|Arkansas|California|Colorado|Connecticut|Delaware|District of Columbia|Federated States of Micronesia|Florida|Georgia|Guam|Hawaii|Idaho|Illinois|Indiana|Iowa|Kansas|Kentucky|Louisiana|Maine|Marshall Islands|Maryland|Massachusetts|Michigan|Minnesota|Mississippi|Missouri|Montana|Nebraska|Nevada|New Hampshire|New Jersey|New Mexico|New York|North Carolina|North Dakota|Northern Mariana Islands|Ohio|Oklahoma|Oregon|Palau|Pennsylvania|Puerto Rico|Rhode Island|South Carolina|South Dakota|Tennessee|Texas|Utah|Vermont|Virgin Islands|Virginia|Washington|West Virginia|Wisconsin|Wyoming,The state in which the individual was tested
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,countryOfTest,Test information|Country where the test was taken,American Samoa|Guam|Marshall Islands (the)|Micronesia (Federated States of)|Northern Mariana Islands (the)|Palau|Puerto Rico|United States of America (the)|Virgin Islands (U.S.),The country in which the individual was tested.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,certificateIssuer,Certificate metadata|Certificate issuer,,Entity that has issued the certificate (allowing to check the certificate)
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,certificateNumber,Certificate metadata|Certificate Identifier,,"Unique identifier of the certificate (UVCI), to be printed (human readable) into the certificate; the unique identifier can be included in the IIS"
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,linkedTestCertificate,Personal/Operational|Linked test certificate ID,,Unique identifier of the associated test certificate
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,recipient,Person identification|Event recipient,,The resource identifier for a schema used for event recipient identification.
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,disease,Information about past infection|Disease or agent|Classification of Disease,Post COVID-19 condition|Multisystem inflammatory syndrome associated with COVID-19|Personal history of COVID-19,Disease or agent the citizen has recovered from.
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,dateOfFirstPositiveResult,Information about past infection|Date of first positive test result,,Date when the sample for the test was collected that led to positive test obtained through a procedure established by a public health authority in the Member State.
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,stateOfTest,Information about past infection|Province or territory where the test was taken,Alabama|Alaska|American Samoa|Arizona|Arkansas|California|Colorado|Connecticut|Delaware|District of Columbia|Federated States of Micronesia|Florida|Georgia|Guam|Hawaii|Idaho|Illinois|Indiana|Iowa|Kansas|Kentucky|Louisiana|Maine|Marshall Islands|Maryland|Massachusetts|Michigan|Minnesota|Mississippi|Missouri|Montana|Nebraska|Nevada|New Hampshire|New Jersey|New Mexico|New York|North Carolina|North Dakota|Northern Mariana Islands|Ohio|Oklahoma|Oregon|Palau|Pennsylvania|Puerto Rico|Rhode Island|South Carolina|South Dakota|Tennessee|Texas|Utah|Vermont|Virgin Islands|Virginia|Washington|West Virginia|Wisconsin|Wyoming,The state in which the individual was tested
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,countryOfTest,Information about past infection|Country where the test was performed,American Samoa|Guam|Marshall Islands (the)|Micronesia (Federated States of)|Northern Mariana Islands (the)|Palau|Puerto Rico|United States of America (the)|Virgin Islands (U.S.),The country in which the first positive test was performed.
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,certificateIssuer,Certificate metadata|Certificate issuer,,Entity that has issued the certificate (allowing to check the certificate)
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,certificateValidFrom,Certificate metadata|Certificate valid from,,Certificate valid from (required if known)
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,certificateValidTo,Certificate metadata|Certificate valid until,,Certificate valid until
COVID-19 Citizen Recovery Credential,A form to be used for verifiable COVID-19 citizen recovery credentials for basic interoperability,certificateNumber,Certificate metadata|Certificate Identifier,,"Unique identifier of the certificate (UVCI), to be printed (human readable) into the certificate; the unique identifier can be included in the IIS"
